issue_year,title,abstract,link
2004,한국산 해변말미잘목 (산호충강: 말미잘아강)의 3미기록종,"Some actiniarians were collected from the coasts of Jejudo and Baekdo Islandsin Korean waters from 1971 to 2004. They are identified into three species withinthree families, which are newly recorded to Korean actiniarian fauna: Halcampellamaxima Hertwig, 1888 within the tribe Athenaria, and also Aulactinia coccinea(Verrill, 1866) and Stichodactyla tapetum(Ehrenberg, 1834) within the tribeThenaria. They are described in detail with figures and tables together with thedistribution and size of cnidae. In preserved specimens, mature oocytes of H.maxima were observed in winter. Also oocytes and sperm sacs of S. tapetumweresurveyed at separate individuals in summer. The unique feature of A. coccinea is abody wall with simple adhesive verrucae extended from margin to limbus inlongitudinal rows. In the genus Stichodactyla, the smallest species, S. tapetumisdistinguished from S. haddoni by short bulbous tentacles, less than 1.0 mm long,densely packed on the oral disc and also conical marginal ones, 1.5-2.0 mm long.As a result of this study, the Korean actiniarian fauna consists of four athenarian and23 thenarian species in suborder Nynantheae 제주도와 백도에서 1971년부터 2004년까지 채집된 해변말미잘류는 3과 3종으로 밝혀졌으며, 이들은 한국 미기록종이었다. 무족반족의 가지해변말미잘(Halcampella maxima )과 족반족의 진홍혹해변말미잘 (Aulactinia coccinea )과 융단열말미잘 (Stichodactyla tapetum)으로서 이들의 자포에 대한 분포와",https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=709a78f12ef7becb4884a65323211ff0&keyword=
2005,말미잘에 이한 피부염 1예,,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=653089f6f583d00d&keyword=
2017,부산 기장에서 채집된 말미잘의 분자생물학적 방법을 이용한 동정,"In this study, we tried to identify a sea anemone collected from the coast of Gijang, Busan. The anemone was morphologically similar to species belonging to the genus Anthopleura, but its morphological characteristics did not allow for confirmed identification to species level. Multiple genes from mitochondrial cytochrome oxidase III, 12S and 16S rRNA, and nuclear 18S and 28S rRNA, were amplified for multilocus sequence typing (MLST) analysis using genomic DNA extracted from the sampled anemone and a different primer set. Based on the MLST analysis, the anemone obtained in this study was identified as Anthopleura artemisia. Also, the sequence of internal transcribed spacer-2 was most closely related to A. artemisia, indicating that this single region might be useful for anemone identification. This study shows significance of molecular identification for sea anemones, and will be helpful in studies of sea anemone identification using genotyping-by-sequencing.",https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6b25293fdbca25c5b36097776a77e665&keyword=
2002,"한국산 해변말미잘과 (산호충강,해변말미잘목,족반족,내근아족)의 분류","Actinians were collected from 91 localities of Korea from 1962 to 2000. Theyare identified into 10 species within 6 genera, of which three species are newlyrecorded to Korean fauna: Dofleinia armata Wassilieff, 1908, Urticina coriacea(Cuvier, 1798) and Urticina crassicornis(Muller, 1776). They are redescribed indetail with figures, and the other species are examined.",https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ded1e0d438a32e61c85d2949c297615a&keyword=
2003,한국산 무족반족 (산호충강:해변말미잘목)의 유사벌레붙이말미잘속의 1신종과 국내 2미기록종,,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a8d7aad213d2beddc85d2949c297615a&keyword=
1990,'철학’이데올로기,"철학의 대상은 현실이지 잡다한 철학 이론이 아니다.듣고 말하기는 쉬워도 나는 그것을 좀체 실행에 옮기지 못한다. 왜 그런가? 왜 나는 '존재와 자아'의 관계에 대해서는 노련한 숙련가이지만 '한반도와 나'의 관계에 대해서는 말미잘처럼 움츠러들 수 밖에 없는가? '한반도'를 경과하지 않고서는 '존재'를 만날 수 없는 법인데 (동굴을 빠져나온 플라톤의 증언을 빌더라도 그렇다!), 나는 '한반도'를 만나지 않은 채 이미 '존재'를, '나의 실존'을 만나고 있다.",https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=214eff00da13f05d&keyword=
1985,월성과 서천의 부착동물에 관한 연구,"본 연구는 月城원자력발전소와, 舒川화력발전소의 취수구에 1984년 10월초 실험부착판을 설치하여 1985년 6월까지 附着動物의 種 組成과 郡集生態를 조사하였다. 조사결과, 附着動物은 月城에서 8門 10綱 17目 43科 70種으로 Mytilus, Balanus와 단체해초류의 부착이 현저하고, 舒川에서는 10門 14綱 20目 48科 62種으로 말미잘類, Chlamys, 군체해초류와 端脚類 접관의 부착이 현저하다. 月別에 따른 변화를 보면 月城에서는 초기단계의 粘性被膜이 점점 두꺼워지고, 새로운 附着動物群의 출현이 빠르지만, 舒川에서는 초기단계의 端脚類 棲管이 점점 두껍게 형성되면서 付着動物群의 출현은 늦다. 附着動物을 형태학적 특징에 따라 類型으로 보면 다음과 같은 천이과정을 알 수 있다. 月城 : CcS→Mssv=Mslf→Mtl→Mslv=Mssf舒川 : Mts,Ccs→Mssv=Mtl→Mslf=Cct→Mslv=Mssf舒川은 月城보다 늦은 속도로 遷移되고 있으며 최종적인 優占種은 Mytilus edulis(Mslv)일 것으로 본다.본 연구는 韓國科學技術院 化學硏究所 硏究事業의 일환으로 수행되었으며, 조사과정 동안 도움을 주신 韓國科學技術院 化學硏究所 分析室長 김풍작 博士님과 그 室員, 韓國電力公社 拉術硏究院 김은아部長님 과 송영문科長님께 謝意를 表한다. To understand the changes of the species composition and the morphology of fouling animals community, a series of studies were carried out at the intake of Wolso˘ng Nuclear Power Plant and So˘ch'o˘n Thermal Power Plant from October, 1984 to June 1985.As a result, 70 species, 43 families, 17 orders, ten classes in eight phyla at Wolso˘ng, and 62 species, 48 families, 20 orders, 14 classes in ten phyla at So˘ch'o˘n were observed during the studv period.Some outstanding group of animals were Wytilus, Balanus and solitary ascidians at Wolso˘ng, and Chlamys, sea anemones, compound ascidians and tubes of amphipods at So˘ch'o˘n.  The changes cf species were appeared to be early at Wolso˘ng, eastern coast of Korea.  Therefore, it seems the last dominant species of fouling animals is Mytilus edulis.",https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0fbe4e4d0ffa72c0ffe0bdc3ef48d419&keyword=
2002,"Taxonomy of Actiniidae (Anthozoa, Actiniaria, Thenaria, Endomvaria) from Korea","한국산 해변말미잘류는 1962년부터 2000년까지 우리나라 삼면연안의 91개 지점에서 채집되었다. 해변말미잘과 내에 6속 10종이 동정ㆍ분류되었으며. 그 중 모래 해변말미잘(Dofleinia armata). 가죽해변말미잘(Urticina coriacea) 및 민가죽해변말미잘 (Urticina crassicornis)은 한국미기록종으로 밝혀졌다. Actinians were collected from 91 localities of Korea from 1962 to 2000. They are identified into 10 species within 6 genera, of which three species are newly recorded to Korean fauna: Dofleinia armota Wassilieff, 1908, Urticina coriacea (Cuvier, 1798) and Urticinu crassicornis (Muller, 1776). They are redescribed in detail with figures, and the other species are examined.",https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e920471b20f9616c7f7a54760bb41745&keyword=
1984,A Systematic Study on the Korean Anthozoa : 8. Actiniaria(Hexacorallia) 해변말미잘類(六放珊瑚 亞綱),"韓國産 해변말미잘類의 系統分類學的 硏究를 하기 위하여 1974년 7월부터 1984년 8월까지 南韓의 28個地域(東海, 南海, 黃海沿岸과 여러 島嶼)으로부터 채집된 標本들을 同定分類하였다. 그 결과 足盤類에 속하는 2亞族 2科 5屬 8種의 韓國末記錄種이 밝혀졌다. The actiniarians identified in present study turned out to be eight species, five genera and two families.They were all new to the Korean fauna: Actinia equina, Anthopleura japonica, A. rurogane´, A. midori, A. pacifica, Paracondylactis hertwigi, epiactis japonica and Haliplanella luciae.",https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f81af85b0f2a3667ffe0bdc3ef48d419&keyword=
2022,수집형 모바일 게임의 트랜스미디어 스토리텔링 구조 분석,"본 연구의 목적은 수집형 모바일 게임에서 나타나는 트랜스미디어 구조를 살펴보고 캐릭터 기반의 트랜스미디어 스토리텔링이 확장되는 양상을 확인하는데 있다. 다인원 캐릭터를 수집하여 육성하는 수집형 모바일 게임은 플레이어의 소유욕을 자극하기 위해 트랜스미디어를 활용한다. 모바일 플랫폼 중 수 집형 RPG 게임의 대표 타이틀인 <그랑블루 판타지>, <페이트/그랜드 오더>, 그리고 <쿠키런: 킹덤>을 대상으로 각각 트랜스미디어로 활용된 캐릭터를 추출하여 연구를 진행하였다.  먼저 캐릭터의 생성 패턴을 확인할 수 있는 오쓰카 에이지의 캐릭터 이론과 빌렘 플루서의 코드화 이론을 활용하여 캐릭터의 요소를 살펴보았다. 그 결과 캐릭터는 추상적인 캐릭터의 특징인 모티브가 동일하여도 조합되는 구체적인 요소의 변화에 따라 창발적으로 나타나며 이는 일종의 코드로서 작용됨을 확인할 수 있었다. 코드로 나타나는 캐릭터는 상호매개적 특징을 보이며 이는 캐릭터 자체가 트랜스미디어를 통해 확장될 수 있는 요건이 된다.  이를 바탕으로 각 캐릭터의 트랜스미디어 스토리 구조를 마리-로르 라이언의 트랜스미디어 스토리텔링 이론을 적용하여 각각 곁가지가 있는 중앙매개 형, 말미잘 형, 선로 전환형으로 나타나는 것을 확인할 수 있었다. <쿠키런: 킹덤>에서 주로 나타난 중앙 매개 형은 이름 그대로 중앙의 선이 이야기세계의 메인 우주가 되어 여러 미디어나 텍스트들로 분산되어 있었던 이야기세계가 중앙의 우주와 상호작용하면서 일부 편입되거나 융합하게 되는 유형이다. <페이트/그랜드 오더>에서 나타난 말미잘 형은 중앙에 메인 우주에서 다양한 하위 우주로 반복적으로 펼쳐지는 형태로 각 노드들을 통해 중앙으로 언제든 접근이 가능한 구조이다. <그랑블루 판타지>에서 나타난 선로 전환 형은 각각의 동등한 개별 우주들이 존재하고 트랜스미디어로 통해 이동되는 노드들의 관계를 그려내고 있다.  수집형 모바일 게임의 트랜스미디어 스토리텔링 구조를 분석한 본 연구를 통해 앞으로 트랜스미디어 캐릭터 창작에 참고할 수 있는 실제적인 방법론으로 확대될 수 있을 것으로 기대한다. The purpose of this study is to examine the transmedia structure that appears in collectible mobile games and to verify the expansion of character-based transmedia storytelling. Collectible mobile games that collect multi-person characters utilize transmedia to stimulate players’ desire to possess. The research was conducted by extracting characters used as transmedia from the representative titles of mobile character games, 〈Granblue Fantasy〉, 〈Fate/Grand Order〉, and 〈Cookie Run: Kingdom〉.  First, the elements of the character were examined using Eiji Otsuka’s character theory and Villen Flusser’s code theory, which can identify the character’s pattern. As a result, it was verified that even if the motif, which is a abstract characteristic of the character, is same, the characteristics of the character appear creatively according to the change of specific elements to be combined, and this acts as a kind of code. Characters appearing in code show intermediation characteristics, which is a requirement for the character itself to be expanded through transmedia.  Based on this, it was identified that the transmedia story structure of each character was shown as vector with side-branches, sea-anemone, and track-switching by applying Marie-Laure Ryan’s transmedia storytelling theory. The ector with side-branches, which mainly appeared in〈Cookie Run: Kingdom〉, is a type in which the central line becomes the main universe of the storyworld, and the storyworld, which was distributed in various media or texts, interacts with the central universe, partially incorporating or converging. The sea-anemone type shown in〈Fate/Grand Order〉 is a structure that repeatedly spreads from the main universe to various sub-universe in the center, allowing access to the center at anytime through each node. The track-switching type shown in〈Granblue Fantasy〉 depicts the relationship between nodes that exist and move through transmedia.  Through this study, which analyzes the transmedia storytelling structure of collectible mobile games, it is expected that it will be expanded to practical methodologies that can be referenced for creating transmedia characters in the future.",https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=09a3b7fb3e70d8b3b7998d826d417196&keyword=
